repo_id,seq_index,sha,author_time_iso,minutes_since_prev_commit,minutes_since_t0,insertions,deletions,files_changed,is_merge,is_before_t0,is_during_event,is_after_t1,flag_bulk_commit,subject
IshimwePatience-Competition,0,655198ade9629ebbf606ed5b93e8e59791a14b7b,2026-07-05T08:44:32+00:00,,164.53,747964,0,3939,0,0,1,0,1,first commit
IshimwePatience-Competition,1,400afe3a361098d3dd7a1f33ca009d28e55c281c,2026-07-05T09:13:04+00:00,28.53,193.07,35963,146,33,0,0,1,0,1,inital
IshimwePatience-Competition,2,706ba8e7539f9c1365c5464e6479e7005ea79678,2026-07-05T09:17:33+00:00,4.48,197.55,631,0,16,0,0,1,0,0,Add CareLink Android app
IshimwePatience-Competition,3,9f3902072cf88f562f5177cb6ce536f1a211857c,2026-07-05T09:20:45+00:00,3.20,200.75,122,88,6,1,0,1,0,0,Merge branch 'main' of https://github.com/IshimwePatience/Competition
IshimwePatience-Competition,4,926eb36f4dc08d73e8bb58e491378193db081586,2026-07-05T09:22:08+00:00,1.38,202.13,0,0,1,1,0,1,0,0,Merge branch 'main' of https://github.com/IshimwePatience/Competition
IshimwePatience-Competition,5,ab865534d1ff400f3a0f132e66873a62e39b3f25,2026-07-05T09:45:26+00:00,23.30,225.43,475,190,15,0,0,1,0,0,inital
IshimwePatience-Competition,6,8bec759406b1ba93af21ac249305bd20815ea8fc,2026-07-05T09:48:09+00:00,2.72,228.15,388,101,5,0,0,1,0,0,Save current local changes
IshimwePatience-Competition,7,86a4b4c5f8ca393f2f2ee0e262fdba94bf16184f,2026-07-05T09:58:08+00:00,9.98,238.13,519,195,16,0,0,1,0,0,inital
IshimwePatience-Competition,8,f56924fe714262f90cc993f23218c3591e132a02,2026-07-05T10:01:08+00:00,3.00,241.13,89,37,3,0,0,1,0,0,inital
IshimwePatience-Competition,9,cf3d54bf86903580724b5a9aa34b258f7ae17fd1,2026-07-05T10:06:24+00:00,5.27,246.40,467,122,9,0,0,1,0,0,inital
IshimwePatience-Competition,10,f55c2331fd4d216a0a5075c54da4ed70257d99e4,2026-07-05T10:10:04+00:00,3.67,250.07,584,295,11,0,0,1,0,0,inital
IshimwePatience-Competition,11,1d5512e94e5a798a143e83196aaee54744f7cecb,2026-07-05T10:16:34+00:00,6.50,256.57,94,132,9,0,0,1,0,0,inital
IshimwePatience-Competition,12,90454834c1f0e39f9b67a804e126ca6d86b6ebd1,2026-07-05T10:30:10+00:00,13.60,270.17,182,308,17,0,0,1,0,0,inital
IshimwePatience-Competition,13,f8c62c72c65ebf9bab41442ec95404ee435b4556,2026-07-05T10:50:21+00:00,20.18,290.35,949,45,30,0,0,1,0,0,inital
IshimwePatience-Competition,14,0e3ecc1733ae3dcb938934757f8c8db5d4ff5361,2026-07-05T10:51:40+00:00,1.32,291.67,121,54,3,0,0,1,0,0,inital
IshimwePatience-Competition,15,0565a2908f9505d715597312be8f89524290308e,2026-07-05T11:04:18+00:00,12.63,304.30,1,1,1,0,0,1,0,0,debug: log full error object
IshimwePatience-Competition,16,2dc62e479c595669770090366916557d2c2153cf,2026-07-05T11:05:24+00:00,1.10,305.40,1,1,1,0,0,1,0,0,fix: google login redirect url + debug server errors
IshimwePatience-Competition,17,0c07e2b1348c5f4c9cd925059db07fbd5a3f9f5a,2026-07-05T11:05:26+00:00,0.03,305.43,73,128,4,1,0,1,0,0,Merge branch 'main' of https://github.com/IshimwePatience/Competition
IshimwePatience-Competition,18,2bb1ee9bacdbedb5eb993d35e929eed2d3d79c5f,2026-07-05T11:23:52+00:00,18.43,323.87,339,74,6,0,0,1,0,0,inital
IshimwePatience-Competition,19,71fa1b23f795bf7dc0efe66e6a1bc5eef2134ed1,2026-07-05T11:36:59+00:00,13.12,336.98,437,66,8,0,0,1,0,0,inital
IshimwePatience-Competition,20,96a7dc2bbe4f73a35631dbf513c11f34c65fd23d,2026-07-05T11:39:28+00:00,2.48,339.47,96,9,10,0,0,1,0,0,"hide google login temporarily, add apk download banner"
